names,score,budget_x,revenue,country_num,month_num,genre_num,crew_num
Strange World,65,135000000,69566884,1,11,86,99
The Ten Commandments,78,13500000,85433929,1,12,16,100
The Ten Commandments,78,10000000,1051907,1,12,16,100
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,80,129000000,645532173.4,16,3,87,48
Four's a Crowd,63,110000000,271669045.6,7,10,45,101
Minions: The Rise of Gru,75,80000000,939200081,1,7,88,102
Creed II,70,50000000,213591522,1,12,22,1
Creed,74,37000000,173567581,1,11,22,1
Beast,68,36000000,59103794,1,8,89,103
Fast X,0,340000000,0,2,5,85,104
My Name Is Vendetta,68,113000000,365992130.6,1,11,85,105
Wrath of Man,77,40000000,103913405,1,4,85,106
Jeepers Creepers: Reborn,57,5000000,5954938,1,9,90,107
Turning Red,75,175000000,10964971,1,3,91,108
Encanto,76,150000000,231120602,1,11,92,109
Prancer: A Christmas Tale,59,86800000,284184080,2,11,93,110
Magic Mike's Last Dance,72,45000000,52000000,1,2,52,111
"Lyle, Lyle, Crocodile",75,50000000,107644101,1,12,94,112
The Penitent Thief,62,15160689,23800,1,2,22,113
Hacksaw Ridge,82,40000000,169023926,1,10,95,114
Venus,55,6000000,7818479,7,12,96,115
The Offering,57,103600000,134150172.6,2,9,12,116
Jujutsu Kaisen 0,82,21835777,195870885,1,3,97,117
The Batman,77,200000000,766326717,1,3,98,118
Life in a Year,83,90000000,627851111.8,2,11,99,119
Super Mario Brothers: Great Mission to Rescue Princess Peach,60,151600000,675230189,16,7,100,120
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71,180000000,745013115,1,12,101,121
The Exorcism of God,72,1500000,123516163.2,1,7,12,122
Ghosts of the Ozarks,63,113000000,548624602.6,2,2,102,123
Kompromat,65,155140000,302915354,1,12,35,124
Matadero,60,73800000,346352260.6,7,12,22,125
Air,79,28519270.6,5000000,1,4,22,126
Disenchanted,70,142600000,524597714.8,1,11,103,127
Luck,79,147000000,721203091.4,1,8,104,128
Bullet Train,75,85900000,238534963,1,8,30,129
Night at the Museum: Kahmunrah Rises Again,69,124400000,508761361.2,2,12,92,130
Blade of the 47 Ronin,67,131000000,431341845.4,1,10,105,131
Sing 2,80,85000000,404655351,1,12,106,132
Shark Bait,59,106000000,591557010.2,4,6,107,133
Shrek,77,50000000,491812794,1,6,108,134
In His Shadow,62,133000000,407446362.4,17,3,109,135
Savage Salvation,66,85645,244880855.2,2,12,18,136
Sisu,74,6200000,58748957.6,18,1,110,137
"Tango, Tequila and Some Lies",77,105800000,667037174.8,3,3,111,138
Hotel Transylvania: Transformania,71,116000000,557205138.2,1,1,112,139
Operation Fortune: Ruse de Guerre,67,50000000,35800000,1,1,113,106
Kids vs. Aliens,60,143200000,514828593.6,2,1,114,140
Everything Everywhere All at Once,79,25000000,114900000,1,4,14,141
Glass Onion: A Knives Out Mystery,71,40000000,13280000,1,11,115,142
Suro,73,80000000,522029092.4,7,12,35,143
The Lair,59,118200000,307351568.6,4,8,116,144
My Hero Academia: World Heroes' Mission,76,27164600,38410729,1,10,117,145
Unhappily Ever After,81,149000000,1109873157,3,1,111,146
Evil Eye,68,1704500,223147806.6,3,9,12,147
Inspector Sun and the Curse of the Black Widow,68,98140000,494358731.6,7,12,106,148
The Price We Pay,60,126800000,985255868.8,2,1,118,149
Lupin The 3rd vs. Catâ€™s Eye,60,89600000,367393887.6,1,1,119,150
Murder Mystery,63,24000000,205809600.8,1,5,120,13
Luz Mala,43,87600000,817860943.8,8,11,12,151
Babylon,75,110000000,63262638,1,1,121,129
The Lost City,66,74000000,182921990,1,3,122,152
The Lost City,66,9600000,5256839,1,3,122,152
Detective Knight: Rogue,67,50000000,725034225.6,2,10,85,98
Cop Secret,61,58100000,651717830,19,10,123,153
The Quintessential Quintuplets Movie,84,2937023.8,17288993,1,12,124,154
Harry Potter and the Chamber of Secrets,77,100000000,874954530,1,11,125,155
Kill Boksoon,69,119100000,763309047,9,3,7,156
Candy Land,65,54060000,492646395.4,2,1,11,157
Venom: Let There Be Carnage,69,110000000,506863592,1,11,43,158
Harry Potter and the Philosopher's Stone,79,125000000,976475550,1,11,125,155
On the Count of Three,66,101600000,354385756.2,1,9,44,159
Uncharted,70,120000000,400689914,1,2,126,72
DC League of Super-Pets,74,90000000,203000000,1,9,127,28
Moonfall,64,150000000,59053195,1,2,128,160
Athena,67,75500000,509726081,17,9,22,161
Unicorn Wars,64,50610000,27833,7,10,129,162
Teen Wolf: The Movie,78,150400000,327346026.2,1,1,130,163
Fantastic Beasts: The Secrets of Dumbledore,68,200000000,404560145,1,4,131,164
Cars 3,69,175000000,383541369,1,6,67,165
The Ledge,66,2500000,249984799.4,2,2,132,166
The Big 4,71,98840000,339023160.4,20,12,133,167
Interstellar,84,165000000,648082655,1,11,134,132
Viking Wolf,59,139000000,405888913.2,1,2,90,168
20th Century Girl,83,119,77132590.4,9,10,135,169
The Soccer Football Movie,61,79000000,798590398.8,2,11,88,170
Boston Strangler,67,117000000,521124690.4,1,3,136,171
Close,78,26523270.6,3129968,1,2,22,172
Coraline,78,60000000,126037057,1,8,137,173
Luther: The Fallen Sun,69,111400000,513441742.2,1,3,138,103
Harry Potter and the Goblet of Fire,78,150000000,886742787,1,12,139,155
Piggy,66,2400000,380512,7,10,140,174
Orphan: First Kill,68,51489867,9572765,1,9,11,175
Fullmetal Alchemist: The Final Alchemy,63,133200000,514445172.4,16,6,141,176
Malcriados,78,116600000,586907459,3,2,45,177
Polar,66,118000000,325759805.4,7,10,21,178
Jesus,83,179800000,600820848.4,2,10,16,179
Harry Potter and the Half-Blood Prince,77,250000000,929411069,1,7,125,155
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,61,138000000,337725907.8,16,9,142,180
Noise,49,147200000,1052163302,2,3,54,181
The Infernal Machine,66,88200000,367763875.4,2,9,143,182
Abandoned,63,97760000,384573450.8,2,6,58,183
The Ten Commandments: The Movie,72,39307171,37070177,21,1,22,184
The Avengers,77,225000000,1515100211,1,4,43,95
The Avengers,77,60000000,48585416,1,4,43,95
Still Time,65,138000000,405994737.6,12,10,144,185
Exodus: Gods and Kings,58,140000000,268314513,1,12,145,186
Wolf Hound,66,142000000,491960363.2,1,9,110,187
The Little Mermaid,0,205000000,178359863,2,5,146,188
F9,72,200000000,726229501,1,6,147,104
The Wolf of Wall Street,80,100000000,389816136,1,1,148,189
Pinball: The Man Who Saved the Game,78,146000000,469006626.2,2,3,149,190
"Tad, the Lost Explorer and the Emerald Tablet",76,119200000,379074781.8,1,12,150,4
Brothers,73,26000000,45043870,1,3,151,191
Brothers,73,13000000,17856688,1,3,151,191
Harry Potter and the Prisoner of Azkaban,80,130000000,789592708,1,6,125,155
Out of the Blue,46,4600000,731767,1,10,152,192
RRR,78,69000000,160000000,1,3,53,193
Broker,72,28648000,18632208,1,3,121,194
The Black Phone,78,17000000,161440742,1,6,11,195
Tom and Jerry Snowman's Land,69,57440000,689333138,2,11,153,196
Transformers: Rise of the Beasts,0,200000000,1240261.6,2,6,14,197
Avengers: Endgame,83,400000000,2794731755,1,4,154,95
Spider-Man: Across the Spider-Verse,0,264940000,175269998.8,2,6,117,198
MexZombies,71,74400000,486333316,2,10,155,199
Harry Potter and the Order of the Phoenix,77,150000000,939619849,1,7,156,155
The Northman,71,70000000,69633110,1,4,141,200
I Believe,70,127600000,683545513.4,2,11,157,201
Blue's Big City Adventure,74,132000000,352601141.6,1,11,158,202
After Ever Happy,69,24220050,12467270,1,9,135,203
On the Line,62,10000000,16222303,1,11,18,204
Ben-Hur,79,95000000,91669648,1,5,72,100
Ben-Hur,79,15000000,73259017,1,5,72,100
The Next 365 Days,65,111600000,534358853.4,2,8,135,205
Hocus Pocus 2,74,40000000,0,1,9,159,206
Morbius,62,75000000,162759437,1,3,160,207
Cars 2,61,200000000,560155383,1,6,50,208
Tangled,76,260000000,583777242,1,1,106,209
The Minute You Wake Up Dead,57,170000000,351483918,1,2,161,210
Fifty Shades of Grey,59,40000000,570794950,1,2,162,211
Harry Potter and the Deathly Hallows: Part 2,81,125000000,1341511219,1,7,163,155
The Help,82,25000000,213120004,1,9,22,212
"Monsters, Inc.",78,115000000,560483719,1,12,88,213
The Ice Age Adventures of Buck Wild,67,143000000,508164908,1,3,164,214
Samaritan,68,100000000,380428883,2,8,165,215
Godzilla vs. Kong,77,155000000,468043852,1,3,166,200
Paradise City,58,20000000,161597374.4,1,1,85,216
Shang-Chi and the Legend of the Ten Rings,76,150000000,432224634,1,9,141,217
Zack Snyder's Justice League,82,70000000,136635234.2,1,3,59,218
Lightyear,71,200000000,218768299,1,6,167,219
Ritual,71,102400000,502443287.6,22,9,18,220
Love at First Kiss,62,178400000,324436308.4,2,3,168,221
The Last Client,76,149400000,426175485.2,23,6,161,222
Suzume,82,8224023.8,102258981,1,4,169,223
Pirates of the Caribbean: At World's End,72,300000000,961000000,1,5,170,224
King Shakir Recycle,57,87200000,387787979,24,7,171,225
The School for Good and Evil,72,137000000,750323829.8,1,10,172,226
Monstrous,60,6320000,138450,2,5,58,227
Shrek 2,72,70000000,935253978,1,6,173,134
The Unbearable Weight of Massive Talent,68,30000000,29116320,1,4,133,228
Fifty Shades Freed,67,55000000,371985018,1,1,99,211
El tirabeque,30,15541000,38139010,7,11,45,229
The Battle at Lake Changjin: Water Gate Bridge,69,200000000,626203271,1,2,174,230
Spider-Man: Into the Spider-Verse,84,90000000,375540831,1,12,175,198
Harry Potter and the Deathly Hallows: Part 1,78,250000000,954305868,1,11,125,155
Emily the Criminal,68,116200000,572201947,1,6,37,231
Emergency Declaration,77,18052672,19200000,9,8,176,194
Blood,58,107000000,297177664,2,1,42,232
Memory,70,63400000,11300000,1,7,7,233
Orgasm Lecture 2,100,201000000,1569323844,9,2,22,234
Whisper,64,20000,211802400.4,4,1,11,235
The Shack,75,20000000,96860808,1,4,177,2
Eternals,70,200000000,401731759,1,11,43,236
Doraemon: Nobita's Little Star Wars 2021,57,109000000,590124290.8,16,3,178,237
Dog,74,15000000,84677678,1,3,121,111
The Invitation,64,1000000,354836,1,8,11,238
The Conjuring: The Devil Made Me Do It,75,40000000,200266441,1,6,58,239
3-D Sex and Zen: Extreme Ecstasy,48,3500000,10308238,10,4,179,240
Control,54,6400000,8902141,2,9,180,241
Mortal Kombat,71,55000000,83508259,1,4,181,242
Mortal Kombat,71,20000000,122133227,1,4,181,242
Pirates of the Caribbean: The Curse of the Black Pearl,78,140000000,655011224,1,9,170,224
Clifford the Big Red Dog,72,64000000,78418101,1,12,182,243
Dragon Knight,69,149000000,526557525.4,4,3,183,244
Cruella,81,200000000,233503234,1,5,184,212
The Suicide Squad,76,185000000,167097737,1,8,185,245
Drifting Home,76,119000000,583004188.8,16,9,186,246
The Bad Guys,77,70000000,250659286,1,3,187,247
The Remaining,59,7270000,1169603,2,9,42,248
The Last: Naruto the Movie,78,903852,19840000,16,12,188,249
Pirates of the Caribbean: On Stranger Tides,65,379000000,1045713802,1,5,189,224
There's Something Wrong with the Children,61,97200000,463920468,2,1,58,250
Prom Pact,75,96200000,412160901,1,3,168,251
Coco,82,175000000,797660271,1,12,190,252
The Sea Beast,75,116200000,649271677.4,1,7,20,253
Toy Story,80,30000000,365270951,1,12,191,52
The Boss Baby: Family Business,75,82000000,146281732,1,11,164,254
Housewife Sex Slaves: Hatano Yui,0,167540000,175269998.8,16,1,192,255
The Independent,73,80000000,522029092.4,2,11,35,256
Joseph,82,143260000,865531384,2,4,16,257
Fullmetal Alchemist: The Revenge of Scar,68,120400000,614097908.4,16,5,83,176
Titanic,79,200000000,2222985568,1,12,99,189
The Hunger Games: Mockingjay - Part 1,68,125000000,766575131,1,11,193,258
The Autopsy of Jane Doe,67,24570496.6,5972942,1,12,15,149
Corrective Measures,52,105000000,354205502.2,2,4,194,98
The Jack in the Box: Awakening,64,35442225.8,195189,4,1,12,259
Choose or Die,54,174000000,474753914.4,4,4,195,260
Project Wolf Hunting,65,115200000,220908446.2,1,10,196,261
Lost Bullet 2,65,122800000,377993107,17,11,85,262
Crawlspace,66,110600000,660008190.4,2,3,18,263
The Good Neighbor,71,105,94909,1,9,18,264
The Trapped 13: How We Survived The Thai Cave,69,111600000,767228967.6,25,10,27,265
Groot's First Steps,71,131400000,730150001.2,2,8,197,104
Son of God,69,22000000,70949793,2,2,22,266
Sword Art Online the Movie -Progressive- Aria of a Starless Night,80,20011197,14037060,1,12,198,154
Summer Ghost,72,107200000,632203108.6,16,11,199,267
Resident Evil: Welcome to Raccoon City,61,25000000,41909091,1,12,200,268
Laid-Back Camp The Movie,76,13187504.6,7283918,16,7,201,269
The Pale Blue Eye,70,72000000,214883443.8,1,12,202,186
The Lion King,83,260000000,1647733638,1,8,203,270
The Lion King,83,79300000,986193783,1,8,203,270
Avengers: Age of Ultron,73,365000000,1395316979,1,4,14,95
Me Before You,79,20000000,208064908,1,6,99,271
Luca,79,200000000,49750471,1,6,204,272
Pirates of the Caribbean: Dead Man's Chest,73,200000000,1065659812,1,7,170,224
The Menu,72,30000000,73040804,1,11,205,273
Ice Age,73,65000000,386116343,1,3,206,274
Eureka: Eureka Seven Hi-Evolution,61,139600000,350558192.6,16,11,207,275
The Little Mermaid,73,40000000,211343479,1,7,137,276
Shrek Forever After,63,165000000,756244673,1,7,208,134
Ghostbusters: Afterlife,75,75000000,203614138,1,1,209,277
Sonic the Hedgehog,74,85000000,319715683,1,2,210,56
Teasing Master Takagi-san: The Movie,86,189000000,1168749675,16,6,124,278
Dragon Ball Z: Resurrection 'F',68,5000000,61768190,16,4,211,77
The Guardians of the Galaxy Holiday Special,73,97200000,641749489.4,1,11,212,3
Secret Headquarters,68,143000000,420598835.4,2,8,213,165
The Princess and the Frog,72,105000000,270997378,1,1,214,279
365 Days: This Day,59,162100000,437846475.2,1,4,135,205
Faraway,68,52900000,368167712.6,15,3,168,280
Hellhole,60,146740000,301123555.2,26,10,12,281
To Kill the Beast,60,105000000,227896979.2,21,4,215,282
Zootopia,77,150000000,1002462578,1,3,191,283
The Book of Daniel,73,92600000,428471214.2,2,10,216,284
Lesson Plan,63,121600000,343621307.4,1,11,217,285
Free Guy,76,110000000,331526598,1,9,218,286
Malvada,74,88200000,429165998.8,3,12,219,287
Diary of a Wimpy Kid: Rodrick Rules,71,18000000,73695194,2,12,88,288
Iron Man 2,68,170000000,621156389,1,4,76,95
The Conjuring,75,20000000,316849722,1,7,11,239
Fast & Furious Presents: Hobbs & Shaw,69,200000000,760732926,1,8,122,28
The Library Boys,43,77300000,564483267.8,1,11,45,289
The Maze Runner,72,34000000,348319861,1,9,220,290
Blueback,62,178000000,528252215.4,1,1,221,291
The King's Man,68,100000000,125928656,1,1,222,273
The Hobbit: The Battle of the Five Armies,73,250000000,940323039,1,12,141,292
"Miraculous World: New York, United HeroeZ",82,134400000,662530414,17,9,223,293
Mary Magdalene,63,7855689,11710110,1,3,16,294
The Pilgrim's Progress,78,101000000,893800197.2,2,4,224,295
Red Notice,68,150000000,173638,1,11,79,28
Solo Somos Carne,63,87000000,476680473.8,27,10,12,296
Groot Takes a Bath,71,131400000,730150001.2,2,8,197,104
X,68,1000000,15113105,1,3,58,297
The Croods: A New Age,75,65000000,214790246,1,4,225,228
Boruto: Naruto the Movie,76,24413000,39500000,16,8,226,298
Thor: Ragnarok,76,180000000,850482778,1,10,227,69
Barbie,0,175000000,178359863,2,7,45,245
Noah,56,130000000,352831065,1,3,228,15
The Seven Deadly Sins: Cursed by Light,78,38211149.2,1094673,16,7,229,278
The Girl from the Other Side,68,67654097.6,629573144.8,16,3,199,299
Enola Holmes 2,76,93000000,394945972.8,1,11,230,300
Ant-Man,71,130000000,518858449,1,7,43,31
Scream,74,24000000,138874789,1,2,231,301
Scream,74,15000000,173046640,1,2,231,301
Frozen II,73,150000000,1437862795,1,12,232,302
Shrek the Third,63,160000000,807330936,1,6,233,134
Ratatouille,78,150000000,626549695,1,9,92,303
Maneater,49,132800000,660707570.8,2,8,69,304
Raya and the Last Dragon,79,100000000,130423032,1,3,234,305
Slumberland,75,35000000,374600744.4,1,11,93,306
PAW Patrol: The Movie,75,26000000,144327371,1,8,50,307
Deadpool,76,58000000,781947691,1,2,122,286
The Good Dinosaur,68,187500000,333771037,1,1,235,308
Last Seen Alive,66,107700000,276937185.8,1,5,32,22
We Have a Ghost,66,150000000,569719222.6,2,2,236,87
"Paul, Apostle of Christ",75,5000000,26078500,1,3,16,23
Real Steel,70,110000000,263880341,1,9,237,309
The Matrix Resurrections,65,190000000,159197755,1,12,43,7
Lou,67,69400000,240033015.8,1,9,32,310
Pinocchio,65,45000000,31681811,1,9,131,311
Pinocchio,65,13200000,30360375,1,9,131,311
Pinocchio,65,2289247,84300000,1,9,131,311
Miraculous World: Shanghai â€“ The Legend of Ladydragon,79,149860000,660957374.4,17,4,238,293
The Tomorrow War,79,200000000,19220000,1,7,239,3
Cars,69,70000000,461630558,1,6,67,165
Grimcutty,54,130800000,249577615.2,2,10,12,312
Scrooge: A Christmas Carol,68,87000000,459237806,4,11,137,313
Your Place or Mine,64,105400000,286421986.2,2,2,168,314
Your Name.,85,2937023.8,357986087,1,11,240,315
Puss in Boots,65,130000000,554987477,2,10,241,8
One Piece Film Red,75,8705000,150797338,1,11,242,275
The Fate of the Furious,69,250000000,1236703796,1,4,85,104
The Strays,55,131700000,751965791.6,4,2,243,316
Watcher,66,10237862.6,2667033,2,6,69,317
The Gray Man,70,200000000,451178,1,7,32,318
The Mummy Resurrection,50,102800000,545695337.6,4,1,12,319
The Fallout,77,114200000,736329646.2,2,3,22,320
Guardians of the Galaxy Volume 3,0,250000000,1240261.6,1,5,244,3
Boyka: Undisputed IV,71,119400000,343644155,2,9,53,321
The Godfather,87,7000000,270007394,1,11,49,322
Mulan,79,200000000,69973540,1,9,77,323
Mulan,79,90000000,303500000,1,9,77,323
Dracula: The Original Living Vampire,54,124800000,605767026.8,2,1,245,324
Big Hero 6,77,165000000,647263005,1,12,246,325
Triangle of Sadness,72,15600000,24733572,1,12,44,326
Dungeons & Dragons,43,35000000,15185241,1,1,247,327
Wire Room,66,101000000,321357348.6,2,9,85,328
Killing Jesus,65,35580000,258973331.6,2,3,248,329
Inside Out,79,175000000,850566343,1,6,249,330
The Miracle of Marcelino,71,110000000,759213943.8,7,2,121,331
Fury,75,80000000,210315681,1,10,250,129
Welcome to the Club,66,124000000,690278154.2,2,9,201,332
Emancipation,80,120000000,0,2,12,22,333
Undisputed III: Redemption,76,3000000,78701381.8,1,6,32,321
The Last Warrior: Root of Evil,69,8400000,27658331,13,1,251,334
After We Fell,71,14000000,21500000,1,10,135,203
Seoul Vibe,67,160200000,348577844,9,8,252,335
One Week Friends,52,111940000,638332462.6,28,6,22,336
Space Jam: A New Legacy,69,150000000,143987946,1,7,253,337
Nobody,81,16000000,57512470,1,4,85,338
The Tiger's Nest,70,120000000,305330864.2,12,10,254,339
Naruto Shippuden the Movie,72,33111535.2,10000000,16,8,97,249
Terrifier,66,35000,0,2,3,11,340
In the Forest,60,84600000,178745725.6,2,1,11,341
The Amazing Spider-Man,67,220000000,757890267,1,7,141,114
Evil Dead,65,17000000,99010045,1,5,12,342
El asistente,100,201000000,1569323844,8,3,45,343
Virus:32,69,101400000,531683245.8,8,4,12,344
Linoleum,68,109000000,673135995.2,1,3,255,345
After We Collided,72,24685792,42000000,1,1,135,203
Sinner: The Secret Diary of a Nymphomaniac,49,167400000,997517367.8,17,6,22,346
A Quiet Place Part II,75,61000000,297400000,1,5,256,347
Twilight,63,37000000,402278564,1,12,257,348
Twilight,63,20000000,15055091,1,12,257,348
Warriors of Future,73,71460000,300356421.2,28,8,258,349
Spider-Man: Homecoming,74,175000000,878271291,1,7,259,72
Howl's Moving Castle,84,24000000,236049757,1,6,260,350
World War Z,68,190000000,531861650,1,6,10,129
Charlie and the Chocolate Factory,70,150000000,475825484,1,9,261,224
High Heat,60,78000000,277412220,1,3,133,351
How to Train Your Dragon: The Hidden World,78,129000000,521533238,1,1,77,352
Girl at the Window,65,95200000,294248739.2,1,8,42,353
Hellraiser,64,1000000,14575148,1,10,15,354
Pacific Rim,69,190000000,411002906,1,7,239,355
My Hero Academia: Heroes Rising,82,21911000,29900850,1,3,262,145
After,72,14000000,57926850,1,7,135,203
After,72,650000,0,1,7,135,203
The Hangover,73,35000000,465487583,1,6,45,356
The Adam Project,71,116000000,203098455.6,1,3,263,286
Trick or Treat Scooby-Doo!,73,85000000,575808566,2,10,264,357
The Tangalanga Method,60,114200000,241031716.6,8,1,45,358
Last Man Down,58,165000000,250351474.6,1,11,32,359
The Emperor's New Groove,75,100000000,169630573,1,4,265,360
The Princess,69,89000000,518519804.4,2,6,266,361
The Lion King,71,260000000,1647733638,1,7,267,362
The Lion King,71,79300000,986193783,1,7,267,362
Jungle Cruise,75,200000000,210469803,1,7,141,28
The Nun,59,22000000,363391647,1,9,58,363
Superfast!,50,20000000,3146707.8,2,4,268,364
Code Name Banshee,59,70520000,457654821.6,2,7,32,365
Beauty Salon: Special Service 2,70,105740523.8,345465556.8,9,2,269,366
The Parent Trap,71,15000000,92108518,2,7,270,367
One Way,64,98600000,688313467.6,1,12,85,368
Monster High: The Movie,70,147200000,432006011.2,2,10,271,369
Furious 7,72,190000000,1514553486,1,4,7,104
The Conjuring 2,73,40000000,321834351,1,6,11,239
Overdose,66,99400000,341205403.4,17,11,5,370
Dragon Ball Z: Broly â€“ The Legendary Super Saiyan,73,25100000,21658982,16,3,68,371
